text,disease
"J'ai de la fièvre, une toux sèche et je me sens très fatigué","grippe"
"Je tousse beaucoup et j'ai le nez qui coule depuis plusieurs jours","rhume"
"J'ai des douleurs abdominales, de la diarrhée et des nausées","gastroentérite"
"Je ressens une forte douleur à la tête et une sensibilité à la lumière","migraine"
"Fièvre élevée, frissons et douleurs musculaires intenses","grippe"
"Nez bouché, mal de gorge et fatigue légère","rhume"
"Vomissements fréquents et selles liquides","gastroentérite"
"Céphalée intense et nausée en regardant des écrans","migraine"
"Toux persistante, fièvre modérée et faiblesse générale","grippe"
"Éternuements, yeux qui piquent et écoulement nasal","rhume"
"Crampes abdominales et diarrhée fréquente","gastroentérite"
"Douleur pulsatile dans la tête et sensibilité au bruit","migraine"
"Fièvre, toux grasse et douleur thoracique légère","grippe"
"Nez qui coule, mal de gorge et fatigue","rhume"
"Nausées, diarrhée et douleur au ventre","gastroentérite"
"Mal de tête intense et vision floue","migraine"
"Depuis deux jours, j'ai une fièvre qui ne baisse pas, accompagnée d'une toux sèche et d'une sensation de faiblesse dans tout le corps. J'ai aussi mal aux muscles, surtout au niveau du dos et des jambes.","grippe"
"Je ressens une douleur intense au niveau du crâne, comme un martèlement, surtout d'un côté. La lumière me gêne énormément et j'ai aussi des nausées depuis ce matin.","migraine"
"Depuis ce matin, j'ai des crampes au ventre, je suis allé plusieurs fois aux toilettes avec des selles très liquides. J'ai aussi vomi deux fois après avoir mangé.","gastroentérite"
"Mon nez est complètement bouché, je n'arrête pas d’éternuer et j’ai mal à la gorge depuis hier soir. Je ressens aussi une légère fatigue générale.","rhume"
"Fièvre importante (autour de 39°C), accompagnée de frissons, de courbatures généralisées et d’une toux profonde. Je me sens trop faible pour sortir du lit.","grippe"
"Depuis plusieurs jours, je souffre de maux de tête lancinants, associés à des troubles de la vision et une forte sensibilité au bruit. Impossible de me concentrer.","migraine"
"Je me sens nauséeux, j’ai eu plusieurs épisodes de vomissements et ma diarrhée est très fréquente. J’ai aussi un peu de fièvre et je n’arrive pas à manger.","gastroentérite"
"Écoulement nasal clair, éternuements fréquents, gorge irritée et sensation de fatigue légère. Les symptômes sont plus forts le matin et le soir.","rhume"
"Je tousse beaucoup, j’ai mal à la poitrine lorsque je respire profondément, et je suis légèrement fiévreux. La nuit, je transpire et je dors très mal.","grippe"
"J’ai très mal à la tête, surtout derrière les yeux. La douleur augmente quand je regarde un écran ou que j’entends des bruits forts. Je suis aussi très sensible à la lumière.","migraine"
"Douleurs abdominales intenses, diarrhée quasi constante et perte d’appétit depuis hier. Je me sens vidé et j’ai des nausées persistantes.","gastroentérite"
"Nez bouché en permanence, mal de gorge, voix enrouée et une sensation générale d’épuisement. Pas de fièvre notable, mais je me sens patraque.","rhume"
"Toux sèche, fièvre moyenne autour de 38°C, fatigue importante, mal de tête diffus et douleurs musculaires généralisées.","grippe"
